id,instruction,context,response,category,language
81,Diagnose why this test fails: (Python),AssertionError: assert 3.0000000000000004 == 3.0,"This is a floating-point precision issue - `0.1 + 0.1 + 0.1` etc. do not always sum to an exact decimal in binary floating point. Don't compare floats with `==`; use `math.isclose(a, b, rel_tol=1e-9)` or pytest's `pytest.approx()`: `assert result == pytest.approx(3.0)`.",Test Failure Diagnosis,Python
158,What's the best way to handle this situation? (JavaScript),fetch('/api/user').then(res => res.json()).then(data => setUser(data));,no bug,Exception Handling Guidance,JavaScript
173,Diagnose this multi-threading issue: (Python),"counter = 0
def increment():
    global counter
    for _ in range(100000):
        counter += 1
# run increment() in 2 threads -> counter ends up less than 200000","<p>`counter += 1` is not atomic - it's a read, add, and write, so two threads can interleave and lose updates (a classic race condition). Protect the critical section with a lock:<br>```python<br>import threading<br>lock = threading.Lock()<br>def increment():<br>    global counter<br>    for _ in range(100000):<br>        with lock:<br>            counter += 1<br>```<br>Or use `threading.local()`/an atomic counter structure, or avoid shared mutable state entirely with multiprocessing + message passing.&nbsp;</p>  ",Concurrency Debugging,Python
114,Review this database query for issues: (SQL),Query runs fine on staging but times out on production with the same data volume.,"Check `EXPLAIN ANALYZE` on production - the query planner may be choosing a different execution plan due to stale statistics (`ANALYZE <table>`), a missing index that exists on staging, table bloat, or different `work_mem`/buffer settings. Compare index lists between environments (`\d <table>` in psql) and confirm migrations that add indexes actually ran on production.",Database/SQL Debugging,SQL
105,Diagnose this multi-threading issue: (Java),Two threads occasionally throw ConcurrentModificationException when iterating over an ArrayList that another thread modifies.,"`ArrayList` is not thread-safe; modifying it while another thread iterates triggers `ConcurrentModificationException` via its fail-fast iterator. Use a thread-safe collection such as `CopyOnWriteArrayList` for read-heavy/write-light workloads, or wrap access with `Collections.synchronizedList()` and synchronize manually during iteration, or use `java.util.concurrent` collections like `ConcurrentLinkedQueue` depending on the access pattern.",Concurrency Debugging,Java
115,Debug this SQL problem: (SQL),Query runs fine on staging but times out on production with the same data volume.,"Check `EXPLAIN ANALYZE` on production - the query planner may be choosing a different execution plan due to stale statistics (`ANALYZE <table>`), a missing index that exists on staging, table bloat, or different `work_mem`/buffer settings. Compare index lists between environments (`\d <table>` in psql) and confirm migrations that add indexes actually ran on production.",Database/SQL Debugging,SQL
132,How do I resolve this setup problem?,Docker container works on my machine but crashes with 'exec format error' on the deployment server.,"This means the image was built for a different CPU architecture than the server (commonly building on Apple Silicon/ARM and deploying to an x86_64 server, or vice versa). Rebuild with the correct target platform, e.g. `docker buildx build --platform linux/amd64 -t myimage .`, or use multi-platform builds so the image works on both architectures.",Dependency/Environment Issue,General
103,Explain this race condition / concurrency bug: (Python),"counter = 0
def increment():
    global counter
    for _ in range(100000):
        counter += 1
# run increment() in 2 threads -> counter ends up less than 200000","`counter += 1` is not atomic - it's a read, add, and write, so two threads can interleave and lose updates (a classic race condition). Protect the critical section with a lock:
```python
import threading
lock = threading.Lock()
def increment():
    global counter
    for _ in range(100000):
        with lock:
            counter += 1
```
Or use `threading.local()`/an atomic counter structure, or avoid shared mutable state entirely with multiprocessing + message passing.",Concurrency Debugging,Python
52,What's the best way to handle this situation? (Python),How should I handle a file that might not exist when reading a config file?,"Wrap the read in a targeted `try/except FileNotFoundError` rather than a bare `except:` so you don't silently swallow unrelated bugs:
```python
try:
    with open('config.yaml') as f:
        config = yaml.safe_load(f)
except FileNotFoundError:
    config = DEFAULT_CONFIG
    logging.warning('config.yaml not found, using defaults')
```
Log the fallback so the missing file is visible in production, and avoid catching `Exception` broadly since it can hide programming errors like typos in the YAML parser call.",Exception Handling Guidance,Python
162,Can you break down this error message for me? (Python),ImportError: cannot import name 'urlencode' from 'urllib',idk,Error Explanation,Python
85,Help me understand this test failure: (JavaScript),FAIL  Timeout - Async callback was not invoked within the 5000ms timeout specified by jest.setTimeout,"The test is waiting on a promise or callback that never resolves, commonly because a mocked API call wasn't set up, `done()` was never called, or a returned promise was not awaited. Check that any mocked network/service calls in the test actually resolve, and that async test functions use `async/await` or return the promise so Jest can track completion.",Test Failure Diagnosis,JavaScript
14,"I'm getting the following error, what's causing it? (SQL)",ERROR 1054 (42S22): Unknown column 'usr.email' in 'field list',"MySQL cannot find a column named `email` on the table aliased `usr`. Either the column name is misspelled, the alias doesn't match the table in the FROM/JOIN clause, or the column was renamed/dropped in a migration. Run `DESCRIBE <table>` to confirm the actual column names and fix the alias or column reference.",Error Explanation,SQL
97,This is failing in my environment - what's the fix? (Python),pip install fails with: Could not find a version that satisfies the requirement tensorflow==2.9.0,"This typically means the requested version isn't available for your Python version/platform (e.g. tensorflow 2.9 doesn't ship wheels for very new Python versions), or you're behind a proxy/offline index. Check `python --version` against the package's supported versions, try `pip install tensorflow` without pinning to see what resolves, and confirm `pip config list` doesn't point to a broken/private index.",Dependency/Environment Issue,Python
144,Diagnose this multi-threading issue: (Java),Two threads occasionally throw ConcurrentModificationException when iterating over an ArrayList that another thread modifies.,,Concurrency Debugging,Java
67,This code is too slow. How can I optimize it? (Python),"result = []
for row in large_dataframe.iterrows():
    result.append(row[1]['value'] * 2)",`DataFrame.iterrows()` is notoriously slow on large data because it creates a Series object per row. Use vectorized operations instead: `result = (large_dataframe['value'] * 2).tolist()`. This can be 50-100x faster on large datasets since it uses NumPy's compiled routines instead of a Python-level loop.,Performance Debugging,Python
148,Explain this race condition / concurrency bug: (Python),"counter = 0
def increment():
    global counter
    for _ in range(100000):
        counter += 1
# run increment() in 2 threads -> counter ends up less than 200000",,Concurrency Debugging,Python
123,What's the best way to handle this situation? (Java),"catch (Exception e) {
    // ignore
}","Swallowing exceptions silently is dangerous - failures disappear with no trace, making bugs almost impossible to diagnose later. At minimum log the exception with context (`logger.error(""failed to process order {}"", orderId, e)`), and catch the most specific exception type you can handle meaningfully rather than the generic `Exception`.",Exception Handling Guidance,Java
25,Find and fix the bug in this code: (JavaScript),"function sumArray(arr) {
  let total;
  for (let i = 0; i <= arr.length; i++) {
    total += arr[i];
  }
  return total;
}","Two bugs here: (1) `total` is never initialized, so it starts as `undefined` and every addition produces `NaN`; (2) the loop condition `i <= arr.length` reads one index past the end of the array. Fix:
```javascript
function sumArray(arr) {
  let total = 0;
  for (let i = 0; i < arr.length; i++) {
    total += arr[i];
  }
  return total;
}
```",Bug Fix / Code Correction,JavaScript
165,Diagnose the logic error in the following: (Python),"def find_max(nums):
    max_val = 0
    for n in nums:
        if n > max_val:
            max_val = n
    return max_val

print(find_max([-5, -2, -9]))  # returns 0, expected -2",fix it,Logic Error Diagnosis,Python
37,This code runs without crashing but gives the wrong result. Why? (Python),"def apply_discount(price, percent):
    return price - percent

print(apply_discount(100, 10))  # expected 90","The function subtracts the raw percent value instead of computing a percentage of the price, so `apply_discount(100, 10)` returns 90 by coincidence but `apply_discount(200, 10)` would wrongly return 190 instead of 180. Fix: `return price - (price * percent / 100)`.",Logic Error Diagnosis,Python
121,Debug this SQL problem: (SQL),"SELECT customer_id, COUNT(*) FROM orders GROUP BY customer_id HAVING COUNT(*) > 5 WHERE status = 'active';","`WHERE` cannot appear after `HAVING` - `WHERE` filters rows before grouping and must come before `GROUP BY`, while `HAVING` filters after aggregation. Correct order: `SELECT customer_id, COUNT(*) FROM orders WHERE status = 'active' GROUP BY customer_id HAVING COUNT(*) > 5;`",Database/SQL Debugging,SQL
107,I'm seeing this concurrency bug. What's happening and how do I fix it?,My application deadlocks intermittently under load. How do I debug it?,"Deadlocks usually come from two or more threads acquiring the same locks in different orders. Take a thread dump when the app hangs (`jstack <pid>` for JVM, `py-spy dump` for Python) and look for threads BLOCKED waiting on a lock held by another BLOCKED thread - that circular wait is the deadlock. Fix it by always acquiring locks in a consistent global order, using timeouts on lock acquisition (`tryLock` with a timeout), or reducing the scope/number of locks needed.",Concurrency Debugging,General
46,This code runs without crashing but gives the wrong result. Why? (SQL),SELECT * FROM orders WHERE status = 'shipped' OR status = 'delivered' AND customer_id = 42;,"Operator precedence: `AND` binds tighter than `OR`, so this is evaluated as `status = 'shipped' OR (status = 'delivered' AND customer_id = 42)`, which returns ALL shipped orders regardless of customer. Add parentheses to express the intended logic: `WHERE (status = 'shipped' OR status = 'delivered') AND customer_id = 42;`",Logic Error Diagnosis,SQL
122,This is failing in my environment - what's the fix? (Python),pip install fails with: Could not find a version that satisfies the requirement tensorflow==2.9.0,"This typically means the requested version isn't available for your Python version/platform (e.g. tensorflow 2.9 doesn't ship wheels for very new Python versions), or you're behind a proxy/offline index. Check `python --version` against the package's supported versions, try `pip install tensorflow` without pinning to see what resolves, and confirm `pip config list` doesn't point to a broken/private index.",Dependency/Environment Issue,Python
61,What's the best way to handle this situation? (Python),What's wrong with using a bare `except:` clause?,"A bare `except:` catches everything, including `KeyboardInterrupt` and `SystemExit`, and hides the real exception type and traceback, making debugging much harder and potentially masking serious bugs. Catch specific exception classes instead (`except ValueError:`, `except (IOError, OSError):`), and if you truly need a catch-all, use `except Exception as e:` and log `e` with `logging.exception()`.",Exception Handling Guidance,Python
12,Can you break down this error message for me? (C++),"Segmentation fault (core dumped)
Program received signal SIGSEGV, Address not mapped to object","A segmentation fault means the program tried to read or write memory it does not own, commonly from dereferencing a null or dangling pointer, indexing an array out of bounds, or using memory after it was freed. Run the binary under `gdb` or `valgrind --tool=memcheck` to get the exact line and the type of invalid access.",Error Explanation,C++
106,Explain this race condition / concurrency bug: (Java),Two threads occasionally throw ConcurrentModificationException when iterating over an ArrayList that another thread modifies.,"`ArrayList` is not thread-safe; modifying it while another thread iterates triggers `ConcurrentModificationException` via its fail-fast iterator. Use a thread-safe collection such as `CopyOnWriteArrayList` for read-heavy/write-light workloads, or wrap access with `Collections.synchronizedList()` and synchronize manually during iteration, or use `java.util.concurrent` collections like `ConcurrentLinkedQueue` depending on the access pattern.",Concurrency Debugging,Java
125,"What's wrong with this SQL, and how should I fix it? (SQL)","SELECT customer_id, COUNT(*) FROM orders GROUP BY customer_id HAVING COUNT(*) > 5 WHERE status = 'active';","`WHERE` cannot appear after `HAVING` - `WHERE` filters rows before grouping and must come before `GROUP BY`, while `HAVING` filters after aggregation. Correct order: `SELECT customer_id, COUNT(*) FROM orders WHERE status = 'active' GROUP BY customer_id HAVING COUNT(*) > 5;`",Database/SQL Debugging,SQL
160,This is failing in my environment - what's the fix? (Python),ModuleNotFoundError: No module named 'requests',ok,Dependency/Environment Issue,Python
118,Debug this SQL problem: (Python),"conn = sqlite3.connect('app.db')
for user_id in user_ids:
    cur = conn.execute(f""SELECT * FROM users WHERE id = {user_id}"")","Building SQL with an f-string is a SQL-injection vulnerability and also causes query-plan-cache misses since each query string is unique. Use parameterized queries: `conn.execute(""SELECT * FROM users WHERE id = ?"", (user_id,))`. This is safer and lets the database reuse the prepared statement plan.",Database/SQL Debugging,Python
159,Give me guidance on proper exception handling for this case: (JavaScript),fetch('/api/user').then(res => res.json()).then(data => setUser(data));,ok,Exception Handling Guidance,JavaScript
140,"   FIND AND FIX THE BUG IN THIS CODE: (JAVASCRIPT)  

","function sumArray(arr) {
  let total;
  for (let i = 0; i <= arr.length; i++) {
    total += arr[i];
  }
  return total;
}","Two bugs here: (1) `total` is never initialized, so it starts as `undefined` and every addition produces `NaN`; (2) the loop condition `i <= arr.length` reads one index past the end of the array. Fix:
```javascript
function sumArray(arr) {
  let total = 0;
  for (let i = 0; i < arr.length; i++) {
    total += arr[i];
  }
  return total;
}
```",Bug Fix / Code Correction,JavaScript
38,Diagnose the logic error in the following: (Python),"def apply_discount(price, percent):
    return price - percent

print(apply_discount(100, 10))  # expected 90","The function subtracts the raw percent value instead of computing a percentage of the price, so `apply_discount(100, 10)` returns 90 by coincidence but `apply_discount(200, 10)` would wrongly return 190 instead of 180. Fix: `return price - (price * percent / 100)`.",Logic Error Diagnosis,Python
29,This function isn't working correctly. What's wrong and how do I fix it? (Java),"for (int i = 0; i < list.size(); i++) {
    if (list.get(i).equals(target)) {
        list.remove(i);
    }
}","Removing elements from a `List` while iterating by index causes elements to shift, so the loop can skip the element right after a removal. Iterate backwards, or use `Iterator.remove()`:
```java
Iterator<String> it = list.iterator();
while (it.hasNext()) {
    if (it.next().equals(target)) {
        it.remove();
    }
}
```",Bug Fix / Code Correction,Java
95,I'm running into this environment/dependency issue: (Python),pip install fails with: Could not find a version that satisfies the requirement tensorflow==2.9.0,"This typically means the requested version isn't available for your Python version/platform (e.g. tensorflow 2.9 doesn't ship wheels for very new Python versions), or you're behind a proxy/offline index. Check `python --version` against the package's supported versions, try `pip install tensorflow` without pinning to see what resolves, and confirm `pip config list` doesn't point to a broken/private index.",Dependency/Environment Issue,Python
161,"What's wrong with this SQL, and how should I fix it? (SQL)",Query runs fine on staging but times out on production with the same data volume.,no bug,Database/SQL Debugging,SQL
133,I'm seeing this concurrency bug. What's happening and how do I fix it? (Python),"counter = 0
def increment():
    global counter
    for _ in range(100000):
        counter += 1
# run increment() in 2 threads -> counter ends up less than 200000","`counter += 1` is not atomic - it's a read, add, and write, so two threads can interleave and lose updates (a classic race condition). Protect the critical section with a lock:
```python
import threading
lock = threading.Lock()
def increment():
    global counter
    for _ in range(100000):
        with lock:
            counter += 1
```
Or use `threading.local()`/an atomic counter structure, or avoid shared mutable state entirely with multiprocessing + message passing.",Concurrency Debugging,Python
96,How do I resolve this setup problem? (Python),pip install fails with: Could not find a version that satisfies the requirement tensorflow==2.9.0,"This typically means the requested version isn't available for your Python version/platform (e.g. tensorflow 2.9 doesn't ship wheels for very new Python versions), or you're behind a proxy/offline index. Check `python --version` against the package's supported versions, try `pip install tensorflow` without pinning to see what resolves, and confirm `pip config list` doesn't point to a broken/private index.",Dependency/Environment Issue,Python
6,Can you break down this error message for me? (JavaScript),"TypeError: Cannot read properties of undefined (reading 'map')
  at renderList (app.js:34)","You are calling `.map()` on a variable that is `undefined` at the time `renderList` runs, most likely because the array is still being fetched asynchronously. Add a guard such as `if (!items) return null;` before the `.map()` call, or default the prop to an empty array, e.g. `items = []`.",Error Explanation,JavaScript
18,Can you break down this error message for me? (Python),ImportError: cannot import name 'urlencode' from 'urllib',"In Python 3, `urlencode` moved to `urllib.parse`, not `urllib` directly. Change the import to `from urllib.parse import urlencode`. This error typically shows up when Python 2 code is run unmodified under Python 3.",Error Explanation,Python
120,Review this database query for issues: (SQL),"SELECT customer_id, COUNT(*) FROM orders GROUP BY customer_id HAVING COUNT(*) > 5 WHERE status = 'active';","`WHERE` cannot appear after `HAVING` - `WHERE` filters rows before grouping and must come before `GROUP BY`, while `HAVING` filters after aggregation. Correct order: `SELECT customer_id, COUNT(*) FROM orders WHERE status = 'active' GROUP BY customer_id HAVING COUNT(*) > 5;`",Database/SQL Debugging,SQL
108,Diagnose this multi-threading issue:,My application deadlocks intermittently under load. How do I debug it?,"Deadlocks usually come from two or more threads acquiring the same locks in different orders. Take a thread dump when the app hangs (`jstack <pid>` for JVM, `py-spy dump` for Python) and look for threads BLOCKED waiting on a lock held by another BLOCKED thread - that circular wait is the deadlock. Fix it by always acquiring locks in a consistent global order, using timeouts on lock acquisition (`tryLock` with a timeout), or reducing the scope/number of locks needed.",Concurrency Debugging,General
100,This is failing in my environment - what's the fix?,Docker container works on my machine but crashes with 'exec format error' on the deployment server.,"This means the image was built for a different CPU architecture than the server (commonly building on Apple Silicon/ARM and deploying to an x86_64 server, or vice versa). Rebuild with the correct target platform, e.g. `docker buildx build --platform linux/amd64 -t myimage .`, or use multi-platform builds so the image works on both architectures.",Dependency/Environment Issue,General
50,Diagnose the logic error in the following: (Java),"if (age >= 13 && age <= 19) {
    category = ""teen"";
} else if (age >= 12 && age <= 17) {
    category = ""minor"";
}","The two age ranges overlap (13-17 falls in both branches), and because `age >= 13 && age <= 19` is checked first, anyone 12-17 who should also match ""minor"" is always classified as ""teen"" instead - the second branch becomes partially unreachable. Redefine the ranges so they are mutually exclusive, e.g. minor = 0-12, teen = 13-19.",Logic Error Diagnosis,Java
75,"Why is this running slowly, and how do I speed it up? (JavaScript)","items.forEach(item => {
  document.getElementById('list').innerHTML += `<li>${item}</li>`;
});","Appending to `innerHTML` inside a loop forces the browser to re-parse and re-render the entire list on every iteration, which is O(n^2) for n items. Build the HTML string (or a DocumentFragment) once, then assign it after the loop:
```javascript
const html = items.map(item => `<li>${item}</li>`).join('');
document.getElementById('list').innerHTML = html;
```",Performance Debugging,JavaScript
47,Diagnose the logic error in the following: (SQL),SELECT * FROM orders WHERE status = 'shipped' OR status = 'delivered' AND customer_id = 42;,"Operator precedence: `AND` binds tighter than `OR`, so this is evaluated as `status = 'shipped' OR (status = 'delivered' AND customer_id = 42)`, which returns ALL shipped orders regardless of customer. Add parentheses to express the intended logic: `WHERE (status = 'shipped' OR status = 'delivered') AND customer_id = 42;`",Logic Error Diagnosis,SQL
163,This code runs without crashing but gives the wrong result. Why? (Python),"def find_max(nums):
    max_val = 0
    for n in nums:
        if n > max_val:
            max_val = n
    return max_val

print(find_max([-5, -2, -9]))  # returns 0, expected -2",fix it,Logic Error Diagnosis,Python
66,"Why is this running slowly, and how do I speed it up? (Python)","def contains_duplicate(nums):
    for i in range(len(nums)):
        for j in range(len(nums)):
            if i != j and nums[i] == nums[j]:
                return True
    return False","This is O(n^2) because of the nested loop comparing every pair. Use a set for O(n) time: 
```python
def contains_duplicate(nums):
    seen = set()
    for n in nums:
        if n in seen:
            return True
        seen.add(n)
    return False
```",Performance Debugging,Python
41,Diagnose the logic error in the following: (JavaScript),"function isPalindrome(str) {
  return str === str.split('').reverse();
}","`str.split('').reverse()` returns an array, and comparing a string to an array with `===` is always false. Join the reversed array back into a string before comparing: `return str === str.split('').reverse().join('');`",Logic Error Diagnosis,JavaScript
155,,ImportError: cannot import name 'urlencode' from 'urllib',"In Python 3, `urlencode` moved to `urllib.parse`, not `urllib` directly. Change the import to `from urllib.parse import urlencode`. This error typically shows up when Python 2 code is run unmodified under Python 3.",Error Explanation,Python
116,"What's wrong with this SQL, and how should I fix it? (Python)","conn = sqlite3.connect('app.db')
for user_id in user_ids:
    cur = conn.execute(f""SELECT * FROM users WHERE id = {user_id}"")","Building SQL with an f-string is a SQL-injection vulnerability and also causes query-plan-cache misses since each query string is unique. Use parameterized queries: `conn.execute(""SELECT * FROM users WHERE id = ?"", (user_id,))`. This is safer and lets the database reuse the prepared statement plan.",Database/SQL Debugging,Python
149,Explain what this error means and how to fix it: (Java),"Exception in thread ""main"" java.lang.NullPointerException
	at com.app.Order.getTotal(Order.java:22)",,Error Explanation,Java
23,This function isn't working correctly. What's wrong and how do I fix it? (Python),"def is_even(n):
    if n % 2 == 1:
        return True
    else:
        return False","The logic is inverted: `n % 2 == 1` is true for odd numbers, not even ones, so the function returns True for odd inputs. Fix: use `n % 2 == 0`, or more simply `return n % 2 == 0`.",Bug Fix / Code Correction,Python
63,Give me guidance on proper exception handling for this case: (Python),What's wrong with using a bare `except:` clause?,"A bare `except:` catches everything, including `KeyboardInterrupt` and `SystemExit`, and hides the real exception type and traceback, making debugging much harder and potentially masking serious bugs. Catch specific exception classes instead (`except ValueError:`, `except (IOError, OSError):`), and if you truly need a catch-all, use `except Exception as e:` and log `e` with `logging.exception()`.",Exception Handling Guidance,Python
65,Identify the performance bottleneck in this code: (Python),"def contains_duplicate(nums):
    for i in range(len(nums)):
        for j in range(len(nums)):
            if i != j and nums[i] == nums[j]:
                return True
    return False","This is O(n^2) because of the nested loop comparing every pair. Use a set for O(n) time: 
```python
def contains_duplicate(nums):
    seen = set()
    for n in nums:
        if n in seen:
            return True
        seen.add(n)
    return False
```",Performance Debugging,Python
27,Review this code snippet and correct the bug: (JavaScript),"function sumArray(arr) {
  let total;
  for (let i = 0; i <= arr.length; i++) {
    total += arr[i];
  }
  return total;
}","Two bugs here: (1) `total` is never initialized, so it starts as `undefined` and every addition produces `NaN`; (2) the loop condition `i <= arr.length` reads one index past the end of the array. Fix:
```javascript
function sumArray(arr) {
  let total = 0;
  for (let i = 0; i < arr.length; i++) {
    total += arr[i];
  }
  return total;
}
```",Bug Fix / Code Correction,JavaScript
79,How can git bisect help find which commit introduced a bug?,,"`git bisect start`, then mark a known-bad commit with `git bisect bad` and a known-good commit with `git bisect good <commit>`. Git checks out a commit halfway between them; you test it and mark it `good` or `bad`, and git repeats the binary search until it identifies the exact commit that introduced the regression. You can automate this with `git bisect run <test-script>` if you have a script that exits non-zero on failure.",Debugging Methodology,General
42,Something is off with this logic - can you spot it? (JavaScript),"function isPalindrome(str) {
  return str === str.split('').reverse();
}","`str.split('').reverse()` returns an array, and comparing a string to an array with `===` is always false. Join the reversed array back into a string before comparing: `return str === str.split('').reverse().join('');`",Logic Error Diagnosis,JavaScript
53,How should error handling be improved here? (Python),How should I handle a file that might not exist when reading a config file?,"Wrap the read in a targeted `try/except FileNotFoundError` rather than a bare `except:` so you don't silently swallow unrelated bugs:
```python
try:
    with open('config.yaml') as f:
        config = yaml.safe_load(f)
except FileNotFoundError:
    config = DEFAULT_CONFIG
    logging.warning('config.yaml not found, using defaults')
```
Log the fallback so the missing file is visible in production, and avoid catching `Exception` broadly since it can hide programming errors like typos in the YAML parser call.",Exception Handling Guidance,Python
171,This function isn't working correctly. What's wrong and how do I fix it? (C++),"int* create_array(int size) {
    int arr[size];
    return arr;
}","<p>`arr` is allocated on the stack and is destroyed when the function returns, so the returned pointer becomes a dangling pointer. Allocate on the heap instead (and remember to free/delete it, or prefer `std::vector<int>`):<br>```cpp<br>std::vector<int> create_array(int size) {<br>    return std::vector<int>(size);<br>}<br>```&nbsp;</p>  ",Bug Fix / Code Correction,C++
8,"I'm getting the following error, what's causing it? (Java)","Exception in thread ""main"" java.lang.NullPointerException
	at com.app.Order.getTotal(Order.java:22)","A NullPointerException at that line means an object reference used inside `getTotal()` is null, likely because a field was never initialized or a constructor argument was not set before the method was called. Add a null check, initialize fields with defaults, or trace the call site to see why the object was never assigned.",Error Explanation,Java
153,,"Traceback (most recent call last):
  File ""app.py"", line 12, in <module>
    result = data['user']['age']
KeyError: 'user'","This KeyError means the dictionary `data` does not have a key named 'user'. Before indexing, check with `if 'user' in data:` or use `data.get('user', {}).get('age')` to avoid the crash. Print `data.keys()` to confirm what keys actually exist at that point in the program.",Error Explanation,Python
110,"What's wrong with this SQL, and how should I fix it? (SQL)",DELETE FROM users WHERE last_login < '2020-01-01',"Without a `WHERE` clause bug this looks fine, but always test destructive statements first with a `SELECT` using the same predicate (`SELECT * FROM users WHERE last_login < '2020-01-01'`) to confirm the row count before running DELETE, and wrap it in a transaction (`BEGIN; ... ; COMMIT;`) so you can `ROLLBACK` if the count looks wrong.",Database/SQL Debugging,SQL
71,Identify the performance bottleneck in this code: (SQL),SELECT * FROM orders WHERE YEAR(created_at) = 2024;,"Wrapping an indexed column in a function like `YEAR(created_at)` prevents the database from using an index on `created_at`, forcing a full table scan. Rewrite as a range condition that can use the index: `WHERE created_at >= '2024-01-01' AND created_at < '2025-01-01';`",Performance Debugging,SQL
147,"What's wrong with this SQL, and how should I fix it? (SQL)",Query runs fine on staging but times out on production with the same data volume.,,Database/SQL Debugging,SQL
89,I'm running into this environment/dependency issue: (Python),ModuleNotFoundError: No module named 'requests',"The `requests` package is not installed in the Python environment currently running your script. Install it with `pip install requests`, and if you use virtual environments, make sure the venv is activated before installing/running (`source venv/bin/activate`). If it's installed but still not found, check `which python` and `pip show requests` to confirm they point to the same environment.",Dependency/Environment Issue,Python
9,Can you break down this error message for me? (Java),"Exception in thread ""main"" java.lang.NullPointerException
	at com.app.Order.getTotal(Order.java:22)","A NullPointerException at that line means an object reference used inside `getTotal()` is null, likely because a field was never initialized or a constructor argument was not set before the method was called. Add a null check, initialize fields with defaults, or trace the call site to see why the object was never assigned.",Error Explanation,Java
83,My test is failing with this output. What's going on? (JavaScript),FAIL  Timeout - Async callback was not invoked within the 5000ms timeout specified by jest.setTimeout,"The test is waiting on a promise or callback that never resolves, commonly because a mocked API call wasn't set up, `done()` was never called, or a returned promise was not awaited. Check that any mocked network/service calls in the test actually resolve, and that async test functions use `async/await` or return the promise so Jest can track completion.",Test Failure Diagnosis,JavaScript
